tijdstip;locatie;component;waarde;LKI,
2018-08-01 11:00:00+02:00;Amsterdam-Vondelpark;NO;3,4;1
2018-08-01 11:00:00+02:00;Amsterdam-Vondelpark;FN;0,45;1
2018-08-01 12:00:00+02:00;Amsterdam-Vondelpark;FN;0,35;1
2018-08-01 12:00:00+02:00;Amsterdam-Vondelpark;PM10;14,4;2
2018-08-01 12:00:00+02:00;Amsterdam-Vondelpark;PM25;2,4;1
2018-08-01 12:00:00+02:00;Amsterdam-Vondelpark;NO2;18,8;2
2018-08-01 12:00:00+02:00;Amsterdam-Vondelpark;CO;199,3;1
2018-08-01 12:00:00+02:00;Amsterdam-Vondelpark;O3;68,0;5
2018-08-01 12:00:00+02:00;Amsterdam-Vondelpark;NO;2,9;1
2018-08-01 13:00:00+02:00;Amsterdam-Vondelpark;FN;0,44;1
2018-08-01 13:00:00+02:00;Amsterdam-Vondelpark;PM25;4,5;1
2018-08-01 13:00:00+02:00;Amsterdam-Vondelpark;CO;218,1;1
2018-08-01 13:00:00+02:00;Amsterdam-Vondelpark;O3;68,2;5
2018-08-01 13:00:00+02:00;Amsterdam-Vondelpark;NO;3,0;1
2018-08-01 13:00:00+02:00;Amsterdam-Vondelpark;NO2;21,1;3
2018-08-01 13:00:00+02:00;Amsterdam-Vondelpark;PM10;18,1;2
2018-08-01 14:00:00+02:00;Amsterdam-Vondelpark;NO2;20,7;3
2018-08-01 14:00:00+02:00;Amsterdam-Vondelpark;O3;73,0;5
2018-08-01 14:00:00+02:00;Amsterdam-Vondelpark;NO;3,2;1
2018-08-01 14:00:00+02:00;Amsterdam-Vondelpark;PM25;4,8;1
2018-08-01 14:00:00+02:00;Amsterdam-Vondelpark;CO;215,6;1
2018-08-01 14:00:00+02:00;Amsterdam-Vondelpark;PM10;11,0;2
2018-08-01 14:00:00+02:00;Amsterdam-Vondelpark;FN;0,49;1
2018-08-01 15:00:00+02:00;Amsterdam-Vondelpark;NO;2,5;1
2018-08-01 15:00:00+02:00;Amsterdam-Vondelpark;NO2;19,8;2
2018-08-01 15:00:00+02:00;Amsterdam-Vondelpark;PM25;4,5;1
2018-08-01 15:00:00+02:00;Amsterdam-Vondelpark;PM10;17,4;2
2018-08-01 15:00:00+02:00;Amsterdam-Vondelpark;O3;76,0;5
2018-08-01 15:00:00+02:00;Amsterdam-Vondelpark;CO;218,4;1
2018-08-01 15:00:00+02:00;Amsterdam-Vondelpark;FN;1,96;2
2018-08-01 16:00:00+02:00;Amsterdam-Vondelpark;FN;0,4;1
2018-08-01 16:00:00+02:00;Amsterdam-Vondelpark;O3;72,7;5
2018-08-01 16:00:00+02:00;Amsterdam-Vondelpark;NO;2,2;1
2018-08-01 16:00:00+02:00;Amsterdam-Vondelpark;PM25;5,7;1
2018-08-01 16:00:00+02:00;Amsterdam-Vondelpark;NO2;16,2;2
2018-08-01 16:00:00+02:00;Amsterdam-Vondelpark;CO;220,2;1
2018-08-01 16:00:00+02:00;Amsterdam-Vondelpark;PM10;16,6;2
2018-08-01 17:00:00+02:00;Amsterdam-Vondelpark;CO;209,8;1
2018-08-01 17:00:00+02:00;Amsterdam-Vondelpark;FN;0,38;1
2018-08-01 17:00:00+02:00;Amsterdam-Vondelpark;PM25;5,3;1
2018-08-01 17:00:00+02:00;Amsterdam-Vondelpark;PM10;13,0;2
2018-08-01 17:00:00+02:00;Amsterdam-Vondelpark;O3;67,5;5
2018-08-01 17:00:00+02:00;Amsterdam-Vondelpark;NO;2,4;1
2018-08-01 17:00:00+02:00;Amsterdam-Vondelpark;NO2;15,6;2
2018-08-01 18:00:00+02:00;Amsterdam-Vondelpark;PM10;12,4;2
2018-08-01 18:00:00+02:00;Amsterdam-Vondelpark;PM25;0,9;1
2018-08-01 18:00:00+02:00;Amsterdam-Vondelpark;CO;210,0;1
2018-08-01 18:00:00+02:00;Amsterdam-Vondelpark;FN;0,47;1
2018-08-01 18:00:00+02:00;Amsterdam-Vondelpark;NO2;17,6;2
2018-08-01 18:00:00+02:00;Amsterdam-Vondelpark;NO;1,8;1
2018-08-01 18:00:00+02:00;Amsterdam-Vondelpark;O3;72,6;5
2018-08-01 19:00:00+02:00;Amsterdam-Vondelpark;PM25;-0,5;1
2018-08-01 19:00:00+02:00;Amsterdam-Vondelpark;NO2;27,8;3
2018-08-01 19:00:00+02:00;Amsterdam-Vondelpark;PM10;12,0;2
2018-08-01 19:00:00+02:00;Amsterdam-Vondelpark;NO;2,5;1
2018-08-01 19:00:00+02:00;Amsterdam-Vondelpark;FN;0,66;1
2018-08-01 19:00:00+02:00;Amsterdam-Vondelpark;CO;265,7;2
2018-08-01 19:00:00+02:00;Amsterdam-Vondelpark;O3;62,4;5
2018-08-01 20:00:00+02:00;Amsterdam-Vondelpark;FN;0,72;1
2018-08-01 20:00:00+02:00;Amsterdam-Vondelpark;PM25;3,2;1
2018-08-01 20:00:00+02:00;Amsterdam-Vondelpark;O3;54,5;4
2018-08-01 20:00:00+02:00;Amsterdam-Vondelpark;NO;2,8;1
2018-08-01 20:00:00+02:00;Amsterdam-Vondelpark;PM10;13,8;2
2018-08-01 20:00:00+02:00;Amsterdam-Vondelpark;NO2;33,1;4
2018-08-01 20:00:00+02:00;Amsterdam-Vondelpark;CO;352,1;2
2018-08-01 21:00:00+02:00;Amsterdam-Vondelpark;CO;570,1;3
2018-08-01 21:00:00+02:00;Amsterdam-Vondelpark;NO;1,6;1
2018-08-01 21:00:00+02:00;Amsterdam-Vondelpark;O3;52,1;4
2018-08-01 21:00:00+02:00;Amsterdam-Vondelpark;FN;0,74;1
2018-08-01 21:00:00+02:00;Amsterdam-Vondelpark;PM10;18,0;2
2018-08-01 21:00:00+02:00;Amsterdam-Vondelpark;PM25;5,0;1
2018-08-01 21:00:00+02:00;Amsterdam-Vondelpark;NO2;36,6;4
2018-08-01 22:00:00+02:00;Amsterdam-Vondelpark;NO;1,1;1
2018-08-01 22:00:00+02:00;Amsterdam-Vondelpark;PM10;18,5;2
2018-08-01 22:00:00+02:00;Amsterdam-Vondelpark;O3;46,1;4
2018-08-01 22:00:00+02:00;Amsterdam-Vondelpark;PM25;5,3;1
2018-08-01 22:00:00+02:00;Amsterdam-Vondelpark;CO;425,4;2
2018-08-01 22:00:00+02:00;Amsterdam-Vondelpark;FN;0,93;1
2018-08-01 22:00:00+02:00;Amsterdam-Vondelpark;NO2;39,4;4
2018-08-01 23:00:00+02:00;Amsterdam-Vondelpark;FN;1,2;2
2018-08-01 23:00:00+02:00;Amsterdam-Vondelpark;O3;35,0;3
2018-08-01 23:00:00+02:00;Amsterdam-Vondelpark;NO2;35,2;4
2018-08-01 23:00:00+02:00;Amsterdam-Vondelpark;NO;0,5;1
2018-08-01 23:00:00+02:00;Amsterdam-Vondelpark;PM25;6,0;1
2018-08-01 23:00:00+02:00;Amsterdam-Vondelpark;CO;269,8;2
2018-08-01 23:00:00+02:00;Amsterdam-Vondelpark;PM10;25,1;3
2018-08-02 00:00:00+02:00;Amsterdam-Vondelpark;PM10;21,7;3
2018-08-02 00:00:00+02:00;Amsterdam-Vondelpark;PM25;4,8;1
