tijdstip;locatie;component;waarde;LKI,
2018-09-05 01:00:00+02:00;Amsterdam-Vondelpark;PM25;18,8;3
2018-09-05 02:00:00+02:00;Amsterdam-Vondelpark;NO;0,4;1
2018-09-05 02:00:00+02:00;Amsterdam-Vondelpark;O3;35,8;3
2018-09-05 02:00:00+02:00;Amsterdam-Vondelpark;PM10;26,2;3
2018-09-05 02:00:00+02:00;Amsterdam-Vondelpark;FN;0,7;1
2018-09-05 02:00:00+02:00;Amsterdam-Vondelpark;CO;298,3;2
2018-09-05 02:00:00+02:00;Amsterdam-Vondelpark;PM25;21,0;4
2018-09-05 02:00:00+02:00;Amsterdam-Vondelpark;NO2;17,1;2
2018-09-05 03:00:00+02:00;Amsterdam-Vondelpark;PM25;27,1;4
2018-09-05 03:00:00+02:00;Amsterdam-Vondelpark;CO;283,9;2
2018-09-05 03:00:00+02:00;Amsterdam-Vondelpark;NO;0,3;1
2018-09-05 03:00:00+02:00;Amsterdam-Vondelpark;O3;37,1;3
2018-09-05 03:00:00+02:00;Amsterdam-Vondelpark;PM10;33,7;4
2018-09-05 03:00:00+02:00;Amsterdam-Vondelpark;FN;0,63;1
2018-09-05 03:00:00+02:00;Amsterdam-Vondelpark;NO2;14,4;2
2018-09-05 04:00:00+02:00;Amsterdam-Vondelpark;FN;0,59;1
2018-09-05 04:00:00+02:00;Amsterdam-Vondelpark;NO;0,3;1
2018-09-05 04:00:00+02:00;Amsterdam-Vondelpark;PM10;29,4;3
2018-09-05 04:00:00+02:00;Amsterdam-Vondelpark;PM25;24,3;4
2018-09-05 04:00:00+02:00;Amsterdam-Vondelpark;NO2;11,2;2
2018-09-05 04:00:00+02:00;Amsterdam-Vondelpark;CO;283,0;2
2018-09-05 04:00:00+02:00;Amsterdam-Vondelpark;O3;44,5;4
2018-09-05 05:00:00+02:00;Amsterdam-Vondelpark;PM25;25,0;4
2018-09-05 05:00:00+02:00;Amsterdam-Vondelpark;NO2;8,8;1
2018-09-05 05:00:00+02:00;Amsterdam-Vondelpark;O3;47,1;4
2018-09-05 05:00:00+02:00;Amsterdam-Vondelpark;NO;0,4;1
2018-09-05 05:00:00+02:00;Amsterdam-Vondelpark;CO;280,7;2
2018-09-05 05:00:00+02:00;Amsterdam-Vondelpark;FN;0,56;1
2018-09-05 05:00:00+02:00;Amsterdam-Vondelpark;PM10;32,8;4
2018-09-05 06:00:00+02:00;Amsterdam-Vondelpark;PM10;34,2;4
2018-09-05 06:00:00+02:00;Amsterdam-Vondelpark;FN;0,52;1
2018-09-05 06:00:00+02:00;Amsterdam-Vondelpark;NO;0,4;1
2018-09-05 06:00:00+02:00;Amsterdam-Vondelpark;PM25;28,5;4
2018-09-05 06:00:00+02:00;Amsterdam-Vondelpark;O3;45,1;4
2018-09-05 06:00:00+02:00;Amsterdam-Vondelpark;CO;276,6;2
2018-09-05 06:00:00+02:00;Amsterdam-Vondelpark;NO2;9,0;1
2018-09-05 07:00:00+02:00;Amsterdam-Vondelpark;FN;0,57;1
2018-09-05 07:00:00+02:00;Amsterdam-Vondelpark;PM25;17,9;3
2018-09-05 07:00:00+02:00;Amsterdam-Vondelpark;NO2;12,0;2
2018-09-05 07:00:00+02:00;Amsterdam-Vondelpark;NO;0,5;1
2018-09-05 07:00:00+02:00;Amsterdam-Vondelpark;CO;276,8;2
2018-09-05 07:00:00+02:00;Amsterdam-Vondelpark;O3;43,3;4
2018-09-05 07:00:00+02:00;Amsterdam-Vondelpark;PM10;29,8;3
2018-09-05 08:00:00+02:00;Amsterdam-Vondelpark;PM10;31,7;4
2018-09-05 08:00:00+02:00;Amsterdam-Vondelpark;CO;357,8;2
2018-09-05 08:00:00+02:00;Amsterdam-Vondelpark;FN;0,72;1
2018-09-05 08:00:00+02:00;Amsterdam-Vondelpark;NO;0,5;1
2018-09-05 08:00:00+02:00;Amsterdam-Vondelpark;NO2;23,4;3
2018-09-05 08:00:00+02:00;Amsterdam-Vondelpark;O3;24,4;2
2018-09-05 08:00:00+02:00;Amsterdam-Vondelpark;PM25;31,2;5
2018-09-05 09:00:00+02:00;Amsterdam-Vondelpark;NO2;40,5;4
2018-09-05 09:00:00+02:00;Amsterdam-Vondelpark;CO;440,5;2
2018-09-05 09:00:00+02:00;Amsterdam-Vondelpark;PM10;36,5;4
2018-09-05 09:00:00+02:00;Amsterdam-Vondelpark;O3;7,8;1
2018-09-05 09:00:00+02:00;Amsterdam-Vondelpark;FN;1,32;2
2018-09-05 09:00:00+02:00;Amsterdam-Vondelpark;PM25;27,6;4
2018-09-05 09:00:00+02:00;Amsterdam-Vondelpark;NO;6,1;1
2018-09-05 10:00:00+02:00;Amsterdam-Vondelpark;O3;1,9;1
2018-09-05 10:00:00+02:00;Amsterdam-Vondelpark;CO;491,1;2
2018-09-05 10:00:00+02:00;Amsterdam-Vondelpark;NO;22,7;2
2018-09-05 10:00:00+02:00;Amsterdam-Vondelpark;FN;2,4;2
2018-09-05 10:00:00+02:00;Amsterdam-Vondelpark;PM10;37,9;4
2018-09-05 10:00:00+02:00;Amsterdam-Vondelpark;PM25;26,5;4
2018-09-05 10:00:00+02:00;Amsterdam-Vondelpark;NO2;56,2;5
2018-09-05 11:00:00+02:00;Amsterdam-Vondelpark;NO;42,4;3
2018-09-05 11:00:00+02:00;Amsterdam-Vondelpark;O3;1,2;1
2018-09-05 11:00:00+02:00;Amsterdam-Vondelpark;CO;479,7;2
2018-09-05 11:00:00+02:00;Amsterdam-Vondelpark;NO2;61,2;6
2018-09-05 11:00:00+02:00;Amsterdam-Vondelpark;FN;3,04;3
2018-09-05 11:00:00+02:00;Amsterdam-Vondelpark;PM10;41,9;4
2018-09-05 11:00:00+02:00;Amsterdam-Vondelpark;PM25;33,5;5
2018-09-05 12:00:00+02:00;Amsterdam-Vondelpark;PM10;30,7;4
2018-09-05 12:00:00+02:00;Amsterdam-Vondelpark;NO2;75,1;7
2018-09-05 12:00:00+02:00;Amsterdam-Vondelpark;PM25;17,4;3
2018-09-05 12:00:00+02:00;Amsterdam-Vondelpark;CO;460,0;2
2018-09-05 12:00:00+02:00;Amsterdam-Vondelpark;NO;17,2;2
2018-09-05 12:00:00+02:00;Amsterdam-Vondelpark;FN;2,35;2
2018-09-05 12:00:00+02:00;Amsterdam-Vondelpark;O3;4,5;1
2018-09-05 13:00:00+02:00;Amsterdam-Vondelpark;CO;565,2;3
2018-09-05 13:00:00+02:00;Amsterdam-Vondelpark;NO2;75,5;7
2018-09-05 13:00:00+02:00;Amsterdam-Vondelpark;PM25;17,9;3
2018-09-05 13:00:00+02:00;Amsterdam-Vondelpark;PM10;25,3;3
2018-09-05 13:00:00+02:00;Amsterdam-Vondelpark;FN;2,31;2
2018-09-05 13:00:00+02:00;Amsterdam-Vondelpark;O3;14,4;1
2018-09-05 13:00:00+02:00;Amsterdam-Vondelpark;NO;9,3;1
2018-09-05 14:00:00+02:00;Amsterdam-Vondelpark;NO;5,5;1
2018-09-05 14:00:00+02:00;Amsterdam-Vondelpark;CO;464,1;2
2018-09-05 14:00:00+02:00;Amsterdam-Vondelpark;PM10;17,1;2
2018-09-05 14:00:00+02:00;Amsterdam-Vondelpark;NO2;67,4;6
2018-09-05 14:00:00+02:00;Amsterdam-Vondelpark;PM25;12,0;2
2018-09-05 14:00:00+02:00;Amsterdam-Vondelpark;FN;1,86;2
2018-09-05 14:00:00+02:00;Amsterdam-Vondelpark;O3;27,1;2
2018-09-05 15:00:00+02:00;Amsterdam-Vondelpark;NO2;56,7;5
2018-09-05 15:00:00+02:00;Amsterdam-Vondelpark;CO;402,5;2
2018-09-05 15:00:00+02:00;Amsterdam-Vondelpark;NO;3,2;1
2018-09-05 15:00:00+02:00;Amsterdam-Vondelpark;O3;43,4;4
2018-09-05 15:00:00+02:00;Amsterdam-Vondelpark;PM10;14,9;2
2018-09-05 15:00:00+02:00;Amsterdam-Vondelpark;FN;1,37;2
2018-09-05 15:00:00+02:00;Amsterdam-Vondelpark;PM25;16,3;3
2018-09-05 16:00:00+02:00;Amsterdam-Vondelpark;CO;411,0;2
2018-09-05 16:00:00+02:00;Amsterdam-Vondelpark;NO2;52,3;5
2018-09-05 16:00:00+02:00;Amsterdam-Vondelpark;O3;39,3;3
2018-09-05 16:00:00+02:00;Amsterdam-Vondelpark;PM10;24,1;3
2018-09-05 16:00:00+02:00;Amsterdam-Vondelpark;NO;3,5;1
2018-09-05 16:00:00+02:00;Amsterdam-Vondelpark;FN;1,51;2
2018-09-05 16:00:00+02:00;Amsterdam-Vondelpark;PM25;13,3;2
2018-09-05 17:00:00+02:00;Amsterdam-Vondelpark;CO;401,3;2
2018-09-05 17:00:00+02:00;Amsterdam-Vondelpark;FN;1,24;2
2018-09-05 17:00:00+02:00;Amsterdam-Vondelpark;O3;53,0;4
2018-09-05 17:00:00+02:00;Amsterdam-Vondelpark;NO2;33,0;4
2018-09-05 17:00:00+02:00;Amsterdam-Vondelpark;NO;3,4;1
2018-09-05 17:00:00+02:00;Amsterdam-Vondelpark;PM10;18,9;2
2018-09-05 17:00:00+02:00;Amsterdam-Vondelpark;PM25;13,7;2
2018-09-05 18:00:00+02:00;Amsterdam-Vondelpark;NO2;35,3;4
2018-09-05 18:00:00+02:00;Amsterdam-Vondelpark;NO;2,5;1
2018-09-05 18:00:00+02:00;Amsterdam-Vondelpark;CO;412,8;2
2018-09-05 18:00:00+02:00;Amsterdam-Vondelpark;O3;54,2;4
2018-09-05 18:00:00+02:00;Amsterdam-Vondelpark;FN;1,26;2
2018-09-05 18:00:00+02:00;Amsterdam-Vondelpark;PM10;20,4;3
2018-09-05 18:00:00+02:00;Amsterdam-Vondelpark;PM25;12,0;2
2018-09-05 19:00:00+02:00;Amsterdam-Vondelpark;O3;50,8;4
2018-09-05 19:00:00+02:00;Amsterdam-Vondelpark;CO;416,3;2
2018-09-05 19:00:00+02:00;Amsterdam-Vondelpark;FN;1,22;2
2018-09-05 19:00:00+02:00;Amsterdam-Vondelpark;PM25;9,9;1
2018-09-05 19:00:00+02:00;Amsterdam-Vondelpark;NO;2,0;1
2018-09-05 19:00:00+02:00;Amsterdam-Vondelpark;PM10;19,3;2
2018-09-05 19:00:00+02:00;Amsterdam-Vondelpark;NO2;31,3;4
2018-09-05 20:00:00+02:00;Amsterdam-Vondelpark;PM25;12,6;2
2018-09-05 20:00:00+02:00;Amsterdam-Vondelpark;CO;414,9;2
2018-09-05 20:00:00+02:00;Amsterdam-Vondelpark;NO;1,9;1
2018-09-05 20:00:00+02:00;Amsterdam-Vondelpark;O3;43,8;4
2018-09-05 20:00:00+02:00;Amsterdam-Vondelpark;FN;1,31;2
2018-09-05 20:00:00+02:00;Amsterdam-Vondelpark;PM10;27,4;3
2018-09-05 20:00:00+02:00;Amsterdam-Vondelpark;NO2;31,1;4
2018-09-05 21:00:00+02:00;Amsterdam-Vondelpark;NO;1,3;1
2018-09-05 21:00:00+02:00;Amsterdam-Vondelpark;O3;44,1;4
2018-09-05 21:00:00+02:00;Amsterdam-Vondelpark;FN;1,44;2
2018-09-05 21:00:00+02:00;Amsterdam-Vondelpark;PM10;23,9;3
2018-09-05 21:00:00+02:00;Amsterdam-Vondelpark;PM25;16,9;3
2018-09-05 21:00:00+02:00;Amsterdam-Vondelpark;NO2;29,9;3
2018-09-05 21:00:00+02:00;Amsterdam-Vondelpark;CO;403,4;2
2018-09-05 22:00:00+02:00;Amsterdam-Vondelpark;CO;379,3;2
2018-09-05 22:00:00+02:00;Amsterdam-Vondelpark;O3;48,0;4
2018-09-05 22:00:00+02:00;Amsterdam-Vondelpark;FN;1,1;2
2018-09-05 22:00:00+02:00;Amsterdam-Vondelpark;PM10;25,2;3
2018-09-05 22:00:00+02:00;Amsterdam-Vondelpark;PM25;17,7;3
2018-09-05 22:00:00+02:00;Amsterdam-Vondelpark;NO2;26,2;3
2018-09-05 22:00:00+02:00;Amsterdam-Vondelpark;NO;1,0;1
2018-09-05 23:00:00+02:00;Amsterdam-Vondelpark;PM25;18,4;3
2018-09-05 23:00:00+02:00;Amsterdam-Vondelpark;NO2;23,7;3
2018-09-05 23:00:00+02:00;Amsterdam-Vondelpark;CO;355,7;2
2018-09-05 23:00:00+02:00;Amsterdam-Vondelpark;NO;1,1;1
2018-09-05 23:00:00+02:00;Amsterdam-Vondelpark;O3;43,4;4
2018-09-05 23:00:00+02:00;Amsterdam-Vondelpark;FN;0,9;1
2018-09-05 23:00:00+02:00;Amsterdam-Vondelpark;PM10;26,1;3
2018-09-06 00:00:00+02:00;Amsterdam-Vondelpark;NO;1,2;1
2018-09-06 00:00:00+02:00;Amsterdam-Vondelpark;NO2;28,7;3
2018-09-06 00:00:00+02:00;Amsterdam-Vondelpark;PM25;14,9;2
2018-09-06 00:00:00+02:00;Amsterdam-Vondelpark;PM10;35,6;4
2018-09-06 00:00:00+02:00;Amsterdam-Vondelpark;CO;344,3;2
2018-09-06 00:00:00+02:00;Amsterdam-Vondelpark;O3;38,1;3
2018-09-06 00:00:00+02:00;Amsterdam-Vondelpark;FN;1,19;2
2018-09-06 01:00:00+02:00;Amsterdam-Vondelpark;NO2;20,1;3
2018-09-06 01:00:00+02:00;Amsterdam-Vondelpark;NO;0,9;1
2018-09-06 01:00:00+02:00;Amsterdam-Vondelpark;CO;316,5;2
2018-09-06 01:00:00+02:00;Amsterdam-Vondelpark;PM25;15,3;3
2018-09-06 01:00:00+02:00;Amsterdam-Vondelpark;O3;45,5;4
2018-09-06 01:00:00+02:00;Amsterdam-Vondelpark;PM10;33,0;4
2018-09-06 01:00:00+02:00;Amsterdam-Vondelpark;FN;0,92;1
2018-09-06 02:00:00+02:00;Amsterdam-Vondelpark;PM25;17,4;3
2018-09-06 02:00:00+02:00;Amsterdam-Vondelpark;FN;0,84;1
2018-09-06 02:00:00+02:00;Amsterdam-Vondelpark;PM10;32,0;4
2018-09-06 02:00:00+02:00;Amsterdam-Vondelpark;CO;282,5;2
2018-09-06 02:00:00+02:00;Amsterdam-Vondelpark;O3;47,0;4
2018-09-06 02:00:00+02:00;Amsterdam-Vondelpark;NO;0,7;1
2018-09-06 02:00:00+02:00;Amsterdam-Vondelpark;NO2;19,9;2
2018-09-06 03:00:00+02:00;Amsterdam-Vondelpark;NO;0,6;1
2018-09-06 03:00:00+02:00;Amsterdam-Vondelpark;PM25;18,3;3
2018-09-06 03:00:00+02:00;Amsterdam-Vondelpark;NO2;12,3;2
2018-09-06 03:00:00+02:00;Amsterdam-Vondelpark;CO;284,8;2
2018-09-06 03:00:00+02:00;Amsterdam-Vondelpark;PM10;22,3;3
2018-09-06 03:00:00+02:00;Amsterdam-Vondelpark;FN;0,68;1
2018-09-06 03:00:00+02:00;Amsterdam-Vondelpark;O3;37,2;3
2018-09-06 04:00:00+02:00;Amsterdam-Vondelpark;NO2;18,9;2
2018-09-06 04:00:00+02:00;Amsterdam-Vondelpark;CO;305,3;2
2018-09-06 04:00:00+02:00;Amsterdam-Vondelpark;NO;0,7;1
2018-09-06 04:00:00+02:00;Amsterdam-Vondelpark;O3;34,9;3
2018-09-06 04:00:00+02:00;Amsterdam-Vondelpark;FN;0,84;1
2018-09-06 04:00:00+02:00;Amsterdam-Vondelpark;PM10;26,3;3
2018-09-06 04:00:00+02:00;Amsterdam-Vondelpark;PM25;17,5;3
2018-09-06 05:00:00+02:00;Amsterdam-Vondelpark;FN;1,0;2
2018-09-06 05:00:00+02:00;Amsterdam-Vondelpark;O3;31,4;3
2018-09-06 05:00:00+02:00;Amsterdam-Vondelpark;CO;292,1;2
2018-09-06 05:00:00+02:00;Amsterdam-Vondelpark;NO;0,7;1
2018-09-06 05:00:00+02:00;Amsterdam-Vondelpark;PM25;12,2;2
2018-09-06 05:00:00+02:00;Amsterdam-Vondelpark;NO2;26,5;3
2018-09-06 05:00:00+02:00;Amsterdam-Vondelpark;PM10;27,4;3
2018-09-06 06:00:00+02:00;Amsterdam-Vondelpark;PM25;11,4;2
2018-09-06 06:00:00+02:00;Amsterdam-Vondelpark;FN;0,75;1
2018-09-06 06:00:00+02:00;Amsterdam-Vondelpark;O3;32,0;3
2018-09-06 06:00:00+02:00;Amsterdam-Vondelpark;NO;0,7;1
2018-09-06 06:00:00+02:00;Amsterdam-Vondelpark;PM10;21,3;3
2018-09-06 06:00:00+02:00;Amsterdam-Vondelpark;NO2;21,8;3
2018-09-06 06:00:00+02:00;Amsterdam-Vondelpark;CO;300,2;2
2018-09-06 07:00:00+02:00;Amsterdam-Vondelpark;PM10;29,5;3
2018-09-06 07:00:00+02:00;Amsterdam-Vondelpark;CO;319,6;2
2018-09-06 07:00:00+02:00;Amsterdam-Vondelpark;NO;1,0;1
2018-09-06 07:00:00+02:00;Amsterdam-Vondelpark;O3;29,4;2
2018-09-06 07:00:00+02:00;Amsterdam-Vondelpark;FN;0,88;1
2018-09-06 07:00:00+02:00;Amsterdam-Vondelpark;PM25;18,7;3
2018-09-06 07:00:00+02:00;Amsterdam-Vondelpark;NO2;28,3;3
2018-09-06 08:00:00+02:00;Amsterdam-Vondelpark;FN;1,45;2
2018-09-06 08:00:00+02:00;Amsterdam-Vondelpark;NO2;41,0;4
2018-09-06 08:00:00+02:00;Amsterdam-Vondelpark;PM10;27,2;3
2018-09-06 08:00:00+02:00;Amsterdam-Vondelpark;CO;381,2;2
2018-09-06 08:00:00+02:00;Amsterdam-Vondelpark;NO;4,3;1
2018-09-06 08:00:00+02:00;Amsterdam-Vondelpark;O3;14,8;1
2018-09-06 08:00:00+02:00;Amsterdam-Vondelpark;PM25;20,3;4
2018-09-06 09:00:00+02:00;Amsterdam-Vondelpark;NO2;46,3;5
2018-09-06 09:00:00+02:00;Amsterdam-Vondelpark;PM10;30,9;4
2018-09-06 09:00:00+02:00;Amsterdam-Vondelpark;FN;1,66;2
2018-09-06 09:00:00+02:00;Amsterdam-Vondelpark;O3;9,7;1
2018-09-06 09:00:00+02:00;Amsterdam-Vondelpark;PM25;20,6;4
2018-09-06 09:00:00+02:00;Amsterdam-Vondelpark;NO;10,4;2
2018-09-06 09:00:00+02:00;Amsterdam-Vondelpark;CO;425,3;2
2018-09-06 10:00:00+02:00;Amsterdam-Vondelpark;O3;17,8;2
2018-09-06 10:00:00+02:00;Amsterdam-Vondelpark;CO;409,1;2
2018-09-06 10:00:00+02:00;Amsterdam-Vondelpark;PM25;25,4;4
2018-09-06 10:00:00+02:00;Amsterdam-Vondelpark;NO2;44,1;4
2018-09-06 10:00:00+02:00;Amsterdam-Vondelpark;PM10;34,7;4
2018-09-06 10:00:00+02:00;Amsterdam-Vondelpark;FN;1,61;2
2018-09-06 10:00:00+02:00;Amsterdam-Vondelpark;NO;11,2;2
2018-09-06 11:00:00+02:00;Amsterdam-Vondelpark;NO2;33,9;4
2018-09-06 11:00:00+02:00;Amsterdam-Vondelpark;CO;351,6;2
2018-09-06 11:00:00+02:00;Amsterdam-Vondelpark;FN;1,01;2
2018-09-06 11:00:00+02:00;Amsterdam-Vondelpark;PM10;16,6;2
2018-09-06 11:00:00+02:00;Amsterdam-Vondelpark;NO;4,2;1
2018-09-06 11:00:00+02:00;Amsterdam-Vondelpark;O3;46,2;4
2018-09-06 12:00:00+02:00;Amsterdam-Vondelpark;CO;339,9;2
2018-09-06 12:00:00+02:00;Amsterdam-Vondelpark;PM10;17,1;2
2018-09-06 12:00:00+02:00;Amsterdam-Vondelpark;NO2;34,7;4
2018-09-06 12:00:00+02:00;Amsterdam-Vondelpark;NO;3,2;1
2018-09-06 12:00:00+02:00;Amsterdam-Vondelpark;O3;44,0;4
2018-09-06 12:00:00+02:00;Amsterdam-Vondelpark;FN;1,07;2
2018-09-06 13:00:00+02:00;Amsterdam-Vondelpark;NO2;31,8;4
2018-09-06 13:00:00+02:00;Amsterdam-Vondelpark;CO;328,8;2
2018-09-06 13:00:00+02:00;Amsterdam-Vondelpark;PM25;4,7;1
2018-09-06 13:00:00+02:00;Amsterdam-Vondelpark;PM10;14,1;2
2018-09-06 13:00:00+02:00;Amsterdam-Vondelpark;FN;0,96;1
2018-09-06 13:00:00+02:00;Amsterdam-Vondelpark;O3;50,8;4
2018-09-06 13:00:00+02:00;Amsterdam-Vondelpark;NO;2,7;1
2018-09-06 14:00:00+02:00;Amsterdam-Vondelpark;PM25;6,2;1
2018-09-06 14:00:00+02:00;Amsterdam-Vondelpark;NO2;41,6;4
2018-09-06 14:00:00+02:00;Amsterdam-Vondelpark;PM10;15,9;2
2018-09-06 14:00:00+02:00;Amsterdam-Vondelpark;O3;42,1;4
2018-09-06 14:00:00+02:00;Amsterdam-Vondelpark;NO;4,3;1
2018-09-06 14:00:00+02:00;Amsterdam-Vondelpark;CO;350,7;2
2018-09-06 14:00:00+02:00;Amsterdam-Vondelpark;FN;1,11;2
2018-09-06 15:00:00+02:00;Amsterdam-Vondelpark;NO2;41,9;4
2018-09-06 15:00:00+02:00;Amsterdam-Vondelpark;CO;366,1;2
2018-09-06 15:00:00+02:00;Amsterdam-Vondelpark;NO;4,2;1
2018-09-06 15:00:00+02:00;Amsterdam-Vondelpark;O3;45,6;4
2018-09-06 15:00:00+02:00;Amsterdam-Vondelpark;FN;1,05;2
2018-09-06 15:00:00+02:00;Amsterdam-Vondelpark;PM25;6,3;1
2018-09-06 15:00:00+02:00;Amsterdam-Vondelpark;PM10;10,4;2
2018-09-06 16:00:00+02:00;Amsterdam-Vondelpark;NO2;31,8;4
2018-09-06 16:00:00+02:00;Amsterdam-Vondelpark;PM10;17,2;2
2018-09-06 16:00:00+02:00;Amsterdam-Vondelpark;CO;343,9;2
2018-09-06 16:00:00+02:00;Amsterdam-Vondelpark;FN;0,82;1
2018-09-06 16:00:00+02:00;Amsterdam-Vondelpark;O3;61,3;5
2018-09-06 16:00:00+02:00;Amsterdam-Vondelpark;NO;3,2;1
2018-09-06 16:00:00+02:00;Amsterdam-Vondelpark;PM25;3,7;1
2018-09-06 17:00:00+02:00;Amsterdam-Vondelpark;FN;0,93;1
2018-09-06 17:00:00+02:00;Amsterdam-Vondelpark;O3;63,8;5
2018-09-06 17:00:00+02:00;Amsterdam-Vondelpark;PM10;8,2;1
2018-09-06 17:00:00+02:00;Amsterdam-Vondelpark;NO;6,6;1
2018-09-06 17:00:00+02:00;Amsterdam-Vondelpark;NO2;34,5;4
2018-09-06 17:00:00+02:00;Amsterdam-Vondelpark;CO;342,7;2
2018-09-06 17:00:00+02:00;Amsterdam-Vondelpark;PM25;1,4;1
2018-09-06 18:00:00+02:00;Amsterdam-Vondelpark;FN;0,69;1
2018-09-06 18:00:00+02:00;Amsterdam-Vondelpark;NO;1,7;1
2018-09-06 18:00:00+02:00;Amsterdam-Vondelpark;NO2;21,5;3
2018-09-06 18:00:00+02:00;Amsterdam-Vondelpark;PM25;-0,3;1
2018-09-06 18:00:00+02:00;Amsterdam-Vondelpark;PM10;8,0;1
2018-09-06 18:00:00+02:00;Amsterdam-Vondelpark;CO;360,4;2
2018-09-06 18:00:00+02:00;Amsterdam-Vondelpark;O3;61,8;5
2018-09-06 19:00:00+02:00;Amsterdam-Vondelpark;NO2;14,2;2
2018-09-06 19:00:00+02:00;Amsterdam-Vondelpark;PM10;8,9;1
2018-09-06 19:00:00+02:00;Amsterdam-Vondelpark;O3;67,3;5
2018-09-06 19:00:00+02:00;Amsterdam-Vondelpark;CO;320,0;2
2018-09-06 19:00:00+02:00;Amsterdam-Vondelpark;NO;1,5;1
2018-09-06 19:00:00+02:00;Amsterdam-Vondelpark;PM25;0,5;1
2018-09-06 19:00:00+02:00;Amsterdam-Vondelpark;FN;0,42;1
2018-09-06 20:00:00+02:00;Amsterdam-Vondelpark;FN;0,67;1
2018-09-06 20:00:00+02:00;Amsterdam-Vondelpark;PM10;9,9;1
2018-09-06 20:00:00+02:00;Amsterdam-Vondelpark;PM25;3,3;1
2018-09-06 20:00:00+02:00;Amsterdam-Vondelpark;NO2;25,2;3
2018-09-06 20:00:00+02:00;Amsterdam-Vondelpark;CO;319,2;2
2018-09-06 20:00:00+02:00;Amsterdam-Vondelpark;NO;1,2;1
2018-09-06 20:00:00+02:00;Amsterdam-Vondelpark;O3;51,5;4
2018-09-06 21:00:00+02:00;Amsterdam-Vondelpark;NO2;32,7;4
2018-09-06 21:00:00+02:00;Amsterdam-Vondelpark;PM25;3,6;1
2018-09-06 21:00:00+02:00;Amsterdam-Vondelpark;PM10;12,1;2
2018-09-06 21:00:00+02:00;Amsterdam-Vondelpark;FN;0,87;1
2018-09-06 21:00:00+02:00;Amsterdam-Vondelpark;O3;41,0;4
2018-09-06 21:00:00+02:00;Amsterdam-Vondelpark;NO;0,8;1
2018-09-06 21:00:00+02:00;Amsterdam-Vondelpark;CO;344,1;2
2018-09-06 22:00:00+02:00;Amsterdam-Vondelpark;FN;1,01;2
2018-09-06 22:00:00+02:00;Amsterdam-Vondelpark;NO;0,8;1
2018-09-06 22:00:00+02:00;Amsterdam-Vondelpark;CO;343,1;2
2018-09-06 22:00:00+02:00;Amsterdam-Vondelpark;PM10;14,0;2
2018-09-06 22:00:00+02:00;Amsterdam-Vondelpark;O3;30,0;3
2018-09-06 22:00:00+02:00;Amsterdam-Vondelpark;PM25;4,0;1
2018-09-06 22:00:00+02:00;Amsterdam-Vondelpark;NO2;35,5;4
2018-09-06 23:00:00+02:00;Amsterdam-Vondelpark;CO;362,8;2
2018-09-06 23:00:00+02:00;Amsterdam-Vondelpark;PM25;2,1;1
2018-09-06 23:00:00+02:00;Amsterdam-Vondelpark;PM10;13,1;2
2018-09-06 23:00:00+02:00;Amsterdam-Vondelpark;FN;1,12;2
2018-09-06 23:00:00+02:00;Amsterdam-Vondelpark;O3;15,9;2
2018-09-06 23:00:00+02:00;Amsterdam-Vondelpark;NO2;32,5;4
2018-09-06 23:00:00+02:00;Amsterdam-Vondelpark;NO;0,6;1
2018-09-07 00:00:00+02:00;Amsterdam-Vondelpark;O3;14,3;1
2018-09-07 00:00:00+02:00;Amsterdam-Vondelpark;FN;1,01;2
2018-09-07 00:00:00+02:00;Amsterdam-Vondelpark;PM10;11,3;2
2018-09-07 00:00:00+02:00;Amsterdam-Vondelpark;PM25;1,9;1
2018-09-07 00:00:00+02:00;Amsterdam-Vondelpark;NO2;27,3;3
2018-09-07 00:00:00+02:00;Amsterdam-Vondelpark;CO;358,0;2
2018-09-07 00:00:00+02:00;Amsterdam-Vondelpark;NO;0,7;1
2018-09-07 01:00:00+02:00;Amsterdam-Vondelpark;PM25;3,3;1
2018-09-07 01:00:00+02:00;Amsterdam-Vondelpark;FN;0,97;1
2018-09-07 01:00:00+02:00;Amsterdam-Vondelpark;O3;9,8;1
2018-09-07 01:00:00+02:00;Amsterdam-Vondelpark;NO2;27,4;3
2018-09-07 01:00:00+02:00;Amsterdam-Vondelpark;PM10;17,2;2
2018-09-07 01:00:00+02:00;Amsterdam-Vondelpark;NO;0,8;1
2018-09-07 01:00:00+02:00;Amsterdam-Vondelpark;CO;383,8;2
2018-09-07 02:00:00+02:00;Amsterdam-Vondelpark;CO;360,0;2
2018-09-07 02:00:00+02:00;Amsterdam-Vondelpark;NO;0,8;1
2018-09-07 02:00:00+02:00;Amsterdam-Vondelpark;PM10;7,9;1
2018-09-07 02:00:00+02:00;Amsterdam-Vondelpark;PM25;1,7;1
2018-09-07 02:00:00+02:00;Amsterdam-Vondelpark;FN;1,06;2
2018-09-07 02:00:00+02:00;Amsterdam-Vondelpark;NO2;36,8;4
2018-09-07 02:00:00+02:00;Amsterdam-Vondelpark;O3;14,5;1
2018-09-07 03:00:00+02:00;Amsterdam-Vondelpark;NO;0,7;1
2018-09-07 03:00:00+02:00;Amsterdam-Vondelpark;NO2;17,8;2
2018-09-07 03:00:00+02:00;Amsterdam-Vondelpark;PM25;1,4;1
